CLTV,Contract,Dependents,Multiple Lines,Offer,Satisfaction Score,Tenure in Months,Total Charges,Total Revenue,Churn
4849,24,0,0,0.0,3,25,2191.15,2677.15,0
3715,1,0,1,0.0,3,35,3418.2,5014.9,0
5092,1,0,0,0.0,5,46,851.2,1590.42,0
2068,12,0,0,0.0,4,27,1246.4,1276.4,0
4026,12,0,0,1.0,2,58,3563.8,4562.56,1
5351,1,0,1,1.0,1,3,329.95,375.77,1
5436,1,0,0,0.0,3,24,2210.2,2455.72,0
5413,1,0,1,1.0,2,63,6215.35,6781.09,1
5388,24,0,1,1.0,5,72,7943.45,11169.77,0
3172,1,1,1,0.0,4,2,134.6,164.36,0
2364,12,0,1,0.0,3,31,2835.5,4207.56,0
2901,24,0,0,1.0,4,2,153.8,219.04,0
4515,12,0,0,1.0,3,64,4688.65,6393.61,0
2876,1,0,0,0.0,1,3,222.3,301.08,1
4143,24,1,0,0.0,4,11,601.25,731.71,0
3182,1,0,0,0.0,2,17,1313.55,1833.92,1
5061,12,0,1,0.0,3,59,5483.9,6643.16,0
4114,24,0,1,0.0,4,68,4911.35,6725.86,0
4237,24,1,1,0.0,3,72,5750.0,5946.56,0
2699,1,0,0,0.0,2,1,70.05,97.94,1
4691,12,0,0,0.0,4,32,624.15,2025.75,0
4592,1,0,1,1.0,4,1,61.15,78.22,0
2651,1,1,0,0.0,4,6,377.85,608.85,0
5166,1,0,1,0.0,1,47,4871.05,5292.64,1
5190,24,1,0,0.0,5,12,224.5,455.86,0
3142,1,0,0,0.0,3,6,109.2,393.96,0
4017,1,0,1,0.0,2,1,59.85,81.9,1
5345,1,0,0,0.0,3,1,71.0,99.64,1
2677,12,0,1,0.0,4,42,3944.5,5820.68,0
4311,24,0,0,0.0,4,70,1328.35,4158.76,0
5944,1,0,1,1.0,1,2,162.45,196.89,1
3585,1,1,0,0.0,1,9,651.4,970.81,1
5605,1,1,1,0.0,3,4,224.85,365.65,0
6334,24,0,1,0.0,5,71,1873.7,5057.34,0
2482,1,0,1,0.0,1,30,2758.15,4134.55,1
4480,24,1,0,0.0,3,72,5886.85,6819.97,0
2388,1,0,0,1.0,4,2,129.2,144.64,0
3828,24,1,0,1.0,5,48,1027.25,1921.97,0
2187,1,0,1,0.0,2,2,169.8,197.94,1
2039,1,0,1,0.0,2,26,1616.15,2196.73,1
5611,1,1,0,1.0,3,13,659.35,1005.54,0
6123,12,1,0,1.0,4,66,5013.0,6960.0,0
3854,1,0,0,1.0,3,14,283.75,892.75,0
3972,1,0,1,1.0,1,3,229.5,335.04,1
4634,24,0,0,1.0,3,55,3617.1,5102.1,0
6285,1,0,0,1.0,4,51,1459.35,1459.35,0
4507,24,0,0,1.0,4,62,2748.7,2748.7,0
2768,24,0,0,0.0,3,38,3147.15,3252.13,0
5295,24,0,0,0.0,5,72,4641.1,4641.1,0
6202,24,1,1,1.0,5,72,6130.85,9298.85,0
5946,24,0,0,1.0,5,54,1035.7,1620.52,0
4990,1,0,1,0.0,1,10,856.65,1321.65,1
6019,12,0,1,1.0,3,58,5458.8,8090.26,0
5870,12,1,1,0.0,5,58,6004.85,7966.41,0
4521,1,0,0,1.0,5,4,202.3,209.82,0
5474,1,0,0,1.0,2,18,600.0,600.0,1
5448,12,0,1,1.0,3,24,592.65,1728.57,0
4081,12,0,1,1.0,3,67,5903.15,8403.59,0
2709,12,0,1,1.0,4,38,3887.25,4052.17,0
5527,1,0,0,1.0,3,1,20.9,36.41,1
5219,24,0,1,1.0,3,72,5980.55,8229.43,0
5861,1,0,1,1.0,1,1,74.6,119.33,1
5056,1,1,0,0.0,3,40,2460.35,3265.55,0
2898,24,1,0,0.0,3,13,590.35,590.35,0
4908,12,0,1,0.0,4,63,6590.8,7942.15,0
4032,24,0,1,0.0,3,72,5682.25,6821.29,0
6183,1,0,1,1.0,3,66,6595.0,9442.24,0
4051,24,1,0,0.0,5,66,3632.0,3585.25,0
3100,24,0,0,1.0,3,12,552.1,552.1,0
5816,24,0,1,1.0,4,63,4479.2,7162.37,0
3972,24,0,0,0.0,4,43,3460.3,5092.19,0
4533,1,0,1,0.0,3,9,661.25,956.28,1
2886,12,0,0,1.0,5,28,2483.65,2866.97,0
5266,24,1,1,0.0,3,69,4059.85,6755.68,0
5269,24,0,1,0.0,4,67,6841.05,9444.0,0
4501,12,0,1,1.0,3,60,1505.9,2491.1,0
5870,1,0,0,1.0,5,2,92.75,129.99,0
2933,1,0,0,0.0,1,19,733.35,733.35,1
5962,1,1,0,1.0,4,14,824.85,1442.81,0
5284,1,1,0,1.0,4,43,2169.4,2798.92,0
5870,12,0,0,0.0,4,32,2201.75,3624.15,0
5475,24,1,1,0.0,3,72,1851.45,4293.69,0
3728,24,0,1,1.0,4,18,1743.9,1778.46,0
4770,12,0,0,1.0,3,52,4738.3,6366.42,0
4761,12,0,0,1.0,4,25,516.3,605.8,0
4368,12,0,1,0.0,4,56,4014.0,5515.92,0
4799,1,0,0,0.0,3,2,132.4,179.44,0
4080,1,0,0,0.0,4,7,418.3,476.33,0
2967,1,0,0,0.0,3,13,300.8,300.8,1
5087,24,0,0,1.0,3,33,3027.65,4599.77,0
5154,12,0,1,0.0,5,49,5168.1,6401.58,0
5374,1,0,0,1.0,2,12,950.2,1033.84,1
4968,12,0,1,1.0,5,60,6157.6,7310.8,0
6005,24,1,0,1.0,4,67,3838.2,4578.5,0
3104,12,0,1,1.0,4,27,2964.0,3892.53,0
3700,1,0,0,0.0,3,1,44.7,76.78,1
3711,1,0,0,1.0,5,3,239.05,387.58,0
5804,1,1,0,1.0,3,49,4494.65,5069.91,0
3172,1,0,1,0.0,5,29,2414.55,2720.5,0
5610,24,0,1,0.0,5,30,2181.75,3396.75,0
2061,1,0,1,1.0,5,12,1066.9,1401.9,0
5372,12,0,0,1.0,3,71,3985.35,3985.35,0
4543,12,0,0,1.0,4,47,4730.6,4845.75,0
5665,12,0,1,1.0,4,54,5121.75,7224.85,0
5830,1,0,1,1.0,3,19,1789.25,2533.78,1
3678,1,0,0,1.0,4,1,20.8,68.94,0
3689,1,0,1,0.0,3,17,1614.7,1679.81,0
5507,12,0,1,0.0,3,60,6441.4,8614.8,1
3423,12,1,0,0.0,5,44,2317.1,2327.1,0
5584,24,1,1,0.0,3,72,6843.15,8192.43,0
2745,24,1,0,0.0,3,37,726.1,1029.87,0
5493,12,0,0,1.0,3,60,2911.5,2911.5,0
3443,1,0,1,1.0,5,17,1345.65,2109.97,0
3443,1,0,0,0.0,1,8,583.45,799.37,1
5649,24,0,1,1.0,3,65,6631.85,8435.6,0
5361,1,0,0,0.0,3,2,190.5,199.8,0
4694,1,0,0,1.0,3,4,102.5,102.5,1
5638,1,0,1,0.0,2,7,545.15,771.95,1
3009,1,0,0,0.0,3,2,44.4,144.22,0
6483,24,0,1,0.0,5,55,4323.35,5769.85,0
3540,1,1,0,0.0,5,13,382.2,392.2,0
5597,24,0,0,0.0,3,34,1765.95,1765.95,0
4969,24,0,0,1.0,4,72,4754.3,4754.3,0
2088,1,0,0,0.0,1,3,58.9,58.9,1
5092,12,1,0,0.0,3,56,1971.5,2031.5,0
4001,1,1,0,1.0,3,12,235.8,468.36,0
3038,1,0,1,1.0,1,41,4527.45,5411.41,1
4882,1,0,1,0.0,3,57,4884.85,6494.41,0
3801,1,0,1,0.0,4,37,2976.95,4576.12,0
